Gender,Age,Hours,mph,finish_all
F,32,2.7625,9.491,8
F,27,2.8619,9.1612,15
F,30,2.9031,9.0314,19
F,32,2.9264,8.9594,26
F,28,3.0181,8.6873,45
F,44,3.0289,8.6562,46
F,25,3.0525,8.5893,51
F,37,3.1003,8.4569,59
F,32,3.1222,8.3975,67
F,32,3.1328,8.3692,70
F,22,3.1347,8.364,71
F,29,3.1525,8.3168,81
F,34,3.1658,8.2818,87
F,24,3.1997,8.1941,94
F,32,3.2069,8.1756,98
F,34,3.2175,8.1488,101
F,44,3.2197,8.1432,102
F,55,3.2253,8.1291,103
F,47,3.2392,8.0943,108
F,38,3.2428,8.0853,110
F,22,3.2703,8.0173,121
F,27,3.2719,8.0132,122
F,35,3.2806,7.9922,125
F,28,3.2931,7.9618,131
F,28,3.2947,7.9578,132
F,34,3.2953,7.9565,133
F,33,3.2956,7.9558,134
F,36,3.2969,7.9524,137
F,31,3.3006,7.9437,138
F,42,3.3183,7.9012,149
F,26,3.325,7.8853,151
F,37,3.3261,7.8827,152
F,22,3.3519,7.822,163
F,45,3.3531,7.8194,164
F,43,3.37,7.78,171
F,36,3.4169,7.6732,192
F,26,3.4231,7.6595,198
F,41,3.4319,7.6396,200
F,39,3.4322,7.639,201
F,39,3.4331,7.6371,202
F,29,3.4344,7.6341,203
F,39,3.44,7.6217,204
F,40,3.4683,7.5595,215
F,49,3.4744,7.5462,218
F,32,3.4775,7.5395,222
F,47,3.4856,7.5221,227
F,28,3.4872,7.5185,229
F,52,3.4897,7.5131,230
F,32,3.4906,7.5113,231
F,38,3.5,7.4911,239
F,26,3.5022,7.4863,240
F,48,3.5042,7.4822,242
F,29,3.5042,7.4822,243
F,50,3.5131,7.4632,248
F,43,3.5194,7.4497,251
F,52,3.5217,7.445,254
F,32,3.5217,7.445,255
F,41,3.5239,7.4403,257
F,26,3.5289,7.4297,262
F,35,3.5308,7.4257,264
F,34,3.5325,7.4222,265
F,30,3.5369,7.4128,268
F,27,3.5439,7.3983,272
F,39,3.5467,7.3925,274
F,38,3.5492,7.3873,276
F,48,3.5533,7.3786,277
F,48,3.5569,7.3711,280
F,35,3.5578,7.3694,281
F,28,3.5581,7.3688,282
F,41,3.5589,7.3671,283
F,30,3.5597,7.3654,285
F,28,3.5603,7.3642,286
F,42,3.5889,7.3055,302
F,35,3.5892,7.305,303
F,31,3.5928,7.2976,305
F,38,3.6139,7.255,315
F,57,3.6147,7.2533,317
F,41,3.6197,7.2433,318
F,46,3.62,7.2427,320
F,43,3.6219,7.2389,321
F,31,3.6231,7.2366,323
F,40,3.6253,7.2322,326
F,26,3.6261,7.2305,327
F,47,3.6281,7.2267,329
F,35,3.6286,7.2256,331
F,43,3.6317,7.2195,332
F,39,3.6506,7.1821,342
F,33,3.6525,7.1783,345
F,33,3.6592,7.1652,355
F,43,3.6603,7.163,357
F,27,3.6617,7.1603,358
F,29,3.6644,7.1549,360
F,31,3.6656,7.1527,362
F,43,3.6656,7.1527,363
F,43,3.6658,7.1522,365
F,47,3.6689,7.1462,367
F,43,3.6717,7.1408,370
F,39,3.6742,7.136,372
F,43,3.6789,7.1268,376
F,39,3.6819,7.1209,380
F,41,3.6822,7.1204,381
F,39,3.6831,7.1187,384
F,39,3.6836,7.1177,385
F,33,3.6875,7.1102,391
F,32,3.6956,7.0947,393
F,25,3.6983,7.0893,394
F,40,3.6992,7.0877,395
F,31,3.6997,7.0867,396
F,30,3.7056,7.0755,401
F,42,3.7058,7.075,402
F,40,3.7067,7.0734,403
F,56,3.7111,7.0649,407
F,23,3.7139,7.0596,410
F,31,3.7153,7.057,412
F,51,3.7242,7.0402,419
F,34,3.7314,7.0265,424
F,45,3.7367,7.0166,428
F,27,3.7411,7.0083,432
F,36,3.7419,7.0067,434
F,27,3.7458,6.9994,435
F,29,3.7486,6.9943,440
F,30,3.7508,6.9901,442
F,27,3.7511,6.9896,443
F,44,3.7531,6.986,445
F,53,3.7536,6.9849,446
F,24,3.7622,6.969,450
F,29,3.7633,6.9669,452
F,33,3.7644,6.9648,454
F,25,3.7647,6.9643,455
F,34,3.765,6.9638,456
F,35,3.7664,6.9612,457
F,54,3.7669,6.9602,459
F,36,3.7717,6.9515,465
F,44,3.7719,6.951,466
F,27,3.7786,6.9387,470
F,42,3.7831,6.9306,474
F,52,3.785,6.927,475
F,31,3.7853,6.9265,477
F,53,3.7944,6.9098,483
F,44,3.7961,6.9067,485
F,33,3.7981,6.9032,488
F,26,3.8011,6.8977,491
F,40,3.8031,6.8941,492
F,47,3.8058,6.8891,496
F,25,3.8086,6.8841,498
F,58,3.8119,6.8781,500
F,24,3.8158,6.871,502
F,50,3.8178,6.8675,505
F,64,3.8178,6.8675,506
F,38,3.8181,6.867,507
F,29,3.8183,6.8665,508
F,46,3.8197,6.864,509
F,47,3.8253,6.8541,515
F,47,3.8308,6.8441,523
F,43,3.8342,6.8382,525
F,26,3.8344,6.8377,526
F,29,3.8344,6.8377,527
F,37,3.8364,6.8342,529
F,44,3.8417,6.8248,533
F,50,3.8419,6.8243,534
F,46,3.8433,6.8219,535
F,50,3.8444,6.8199,537
F,63,3.8533,6.8042,547
F,29,3.8586,6.7949,551
F,59,3.86,6.7924,552
F,41,3.8614,6.79,555
F,25,3.8653,6.7831,559
F,36,3.8664,6.7812,560
F,23,3.8697,6.7754,562
F,38,3.8725,6.7705,563
F,29,3.8758,6.7647,566
F,34,3.8764,6.7637,567
F,45,3.8772,6.7623,568
F,25,3.8778,6.7613,569
F,44,3.8781,6.7608,570
F,40,3.8786,6.7598,572
F,35,3.8792,6.7589,575
F,45,3.88,6.7574,576
F,25,3.8872,6.7449,583
F,39,3.8878,6.7439,584
F,38,3.8903,6.7396,587
F,27,3.8956,6.7304,589
F,40,3.8983,6.7256,592
F,39,3.8986,6.7252,594
F,28,3.9,6.7228,596
F,25,3.9003,6.7223,597
F,39,3.9025,6.7184,599
F,26,3.9031,6.7175,601
F,46,3.9111,6.7037,604
F,28,3.9111,6.7037,605
F,32,3.9114,6.7032,606
F,37,3.9114,6.7032,607
F,32,3.9125,6.7013,608
F,48,3.9142,6.6984,609
F,30,3.9175,6.6927,612
F,46,3.9175,6.6927,613
F,47,3.9183,6.6913,618
F,29,3.9189,6.6904,620
F,42,3.9208,6.687,622
F,46,3.9211,6.6866,623
F,49,3.9217,6.6856,625
F,46,3.9231,6.6832,627
F,47,3.9244,6.6809,628
F,61,3.9275,6.6757,631
F,37,3.9275,6.6757,632
F,33,3.9281,6.6747,633
F,27,3.9289,6.6733,636
F,25,3.9331,6.6663,640
F,37,3.9408,6.6531,643
F,26,3.9408,6.6531,644
F,25,3.9408,6.6531,645
F,40,3.9439,6.6479,650
F,54,3.9453,6.6456,651
F,28,3.9472,6.6423,654
F,25,3.9517,6.6349,656
F,20,3.9539,6.6311,659
F,47,3.955,6.6293,661
F,27,3.9567,6.6265,663
F,43,3.9608,6.6195,666
F,51,3.9667,6.6098,670
F,36,3.9686,6.6065,674
F,24,3.9775,6.5918,680
F,25,3.9806,6.5867,683
F,42,3.9833,6.5821,685
F,55,3.9861,6.5775,686
F,26,3.9875,6.5752,687
F,38,3.9878,6.5748,688
F,24,3.9881,6.5743,689
F,34,3.9886,6.5734,691
F,32,3.9928,6.5665,695
F,60,3.9958,6.5615,696
F,38,3.9972,6.5592,699
F,51,4.0047,6.547,703
F,29,4.0061,6.5447,704
F,35,4.0131,6.5334,708
F,33,4.0136,6.5325,709
F,55,4.0175,6.5261,712
F,50,4.0267,6.5113,720
F,43,4.0331,6.501,724
F,27,4.0333,6.5005,725
F,43,4.0336,6.5001,726
F,30,4.0364,6.4956,729
F,50,4.0392,6.4911,731
F,48,4.0411,6.488,732
F,32,4.0444,6.4827,733
F,38,4.0475,6.4778,734
F,49,4.0483,6.4764,735
F,43,4.0494,6.4747,737
F,40,4.0519,6.4707,739
F,30,4.0528,6.4693,740
F,28,4.0533,6.4684,744
F,38,4.0558,6.4645,747
F,55,4.0572,6.4622,748
F,32,4.0586,6.46,749
F,27,4.0619,6.4547,750
F,61,4.0678,6.4455,756
F,51,4.0681,6.445,757
F,24,4.0692,6.4433,758
F,55,4.0717,6.4393,759
F,34,4.0781,6.4292,762
F,33,4.0814,6.424,763
F,52,4.0814,6.424,764
F,45,4.0817,6.4235,765
F,40,4.0844,6.4192,766
F,37,4.0917,6.4078,767
F,24,4.0933,6.4052,770
F,45,4.1006,6.394,773
F,52,4.1006,6.394,774
F,43,4.1017,6.3922,776
F,41,4.1069,6.384,780
F,51,4.1086,6.3814,782
F,56,4.1106,6.3784,784
F,50,4.1125,6.3754,785
F,32,4.1153,6.3711,788
F,48,4.1169,6.3685,790
F,33,4.12,6.3638,792
F,38,4.1211,6.3621,793
F,30,4.1225,6.3599,794
F,60,4.1228,6.3595,796
F,50,4.1233,6.3586,797
F,35,4.1297,6.3488,798
