Gender,Age,Hours,mph,finish_all,stratum
F,47,3.4856,7.5221,227,1
F,39,3.5467,7.3925,274,1
F,52,3.5217,7.445,254,1
F,30,3.5597,7.3654,285,1
F,35,3.6286,7.2256,331,1
F,49,3.4744,7.5462,218,1
F,43,3.6658,7.1522,365,1
F,32,2.7625,9.491,8,1
F,32,3.1328,8.3692,70,1
F,38,3.6139,7.255,315,1
F,39,3.6742,7.136,372,1
F,28,3.0181,8.6873,45,1
F,37,3.1003,8.4569,59,1
F,25,3.0525,8.5893,51,1
F,34,3.1658,8.2818,87,1
F,31,3.6656,7.1527,362,1
F,34,3.2175,8.1488,101,1
F,27,3.5439,7.3983,272,1
F,32,3.5217,7.445,255,1
F,43,3.5194,7.4497,251,1
F,43,3.6317,7.2195,332,1
F,29,3.6644,7.1549,360,1
F,28,3.4872,7.5185,229,1
F,30,3.5369,7.4128,268,1
F,38,3.2428,8.0853,110,1
F,48,3.5533,7.3786,277,1
F,36,3.2969,7.9524,137,1
F,22,3.2703,8.0173,121,1
F,39,3.6506,7.1821,342,1
F,36,3.4169,7.6732,192,1
M,30,2.5217,10.39738929,3,2
M,52,3.1983,8.197628973,92,2
M,28,2.385,10.99318658,1,2
M,47,3.2425,8.085967618,109,2
M,36,2.9783,8.803161724,37,2
M,30,2.9183,8.984151913,23,2
M,32,2.9428,8.909524259,27,2
M,29,2.9478,8.894411986,29,2
M,27,3.1039,8.447064614,60,2
M,53,2.9097,9.010739857,22,2
M,41,3.105,8.444041868,61,2
M,18,3.1058,8.441776228,62,2
M,34,3.0789,8.515653194,58,2
M,43,2.9942,8.756610075,42,2
M,30,3.2072,8.174909059,99,2
M,29,3.1239,8.392984172,68,2
M,25,3.2503,8.066618238,114,2
M,43,3.1647,8.284692355,86,2
M,36,3.1883,8.223340303,89,2
M,33,3.1444,8.338118375,77,2
M,39,2.9067,9.020212156,20,2
M,33,3.0339,8.641961179,48,2
M,36,3.1406,8.348443304,75,2
M,52,3.0611,8.565108893,53,2
M,41,3.2267,8.125645661,105,2
M,37,3.25,8.067307692,113,2
M,43,3.0697,8.541082255,55,2
M,43,2.9203,8.978169885,24,2
M,26,3.0783,8.517190038,57,2
M,28,3.1536,8.313881793,82,2
F,38,5.3175,4.9307,1632,3
F,53,3.7944,6.9098,483,3
F,31,5.0647,5.1767,1530,3
F,40,4.8061,5.4553,1342,3
F,30,5.4311,4.8275,1679,3
F,23,4.2008,6.2413,854,3
F,36,5.5622,4.7137,1739,3
F,42,4.6211,5.6737,1182,3
F,34,4.4825,5.8491,1078,3
F,28,5.8875,4.4533,1846,3
F,47,4.4117,5.943,1023,3
F,42,5.4908,4.775,1712,3
F,53,4.2133,6.2228,869,3
F,37,4.2261,6.204,878,3
